timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773153697935,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153698938,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1196,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153699938,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153700935,179,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1194,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,179,0,0
1773153701933,179,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1215,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153702936,177,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1213,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,177,0,0
1773153703936,179,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1181,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,179,0,0
1773153704937,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1205,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153705933,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,177,0,0
1773153706938,185,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1192,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,185,0,0
1773153707938,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153708937,177,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,177,0,0
1773153709937,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1219,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153710937,177,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1217,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,177,0,0
1773153711937,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1185,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153712937,182,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1209,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,182,0,0
1773153713937,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153714937,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1196,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153715935,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1208,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153716934,208,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1194,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,208,0,0
1773153717937,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1219,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153718938,173,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1213,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,173,0,0
